,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Emil,Bemstrom,C,2021-22,22,CBJ,NHL,41,6,5,11,-1,4,6,0,0,1,5,0,0,62,9.7,105,431,10:31,2,2,50.0,6,36,11,5,,51,51,' placed on IR with strained left oblique'
1,Oskar,Sundqvist,C,2021-22,27,TOT,NHL,59,8,15,23,5,29,8,0,0,1,15,0,0,70,11.4,117,826,14:00,75,107,41.2,29,70,12,25,,35,35,' placed on IR recovering from torn ACL in left knee'
2,Dylan,Samberg,D,2021-22,23,WPG,NHL,15,0,5,5,3,4,0,0,0,0,5,0,0,14,0.0,28,223,14:51,0,0,,19,21,6,11,,"34, 32",66,"' placed on IR with sprained ankle', ' placed on IR with upper body injury'"
3,Colin,Blackwell,C,2021-22,28,TOT,NHL,58,10,10,20,0,14,8,0,2,1,10,0,0,77,13.0,126,692,11:56,83,86,49.1,24,91,18,17,,32,32,' placed on IR with lower body injury'
4,Yanni,Gourde,C,2021-22,30,SEA,NHL,74,21,27,48,-13,45,17,3,1,3,20,4,3,127,16.5,245,1368,18:29,444,453,49.5,31,77,54,38,,7,7,' placed on IR with shoulder injury'
5,Jamie,Oleksiak,D,2021-22,29,SEA,NHL,72,1,16,17,-1,54,1,0,0,0,15,0,1,95,1.1,176,1392,19:20,0,0,,86,182,32,51,,8,8,' placed on IR with lower body injury'
6,Evgeni,Malkin,C,2021-22,35,PIT,NHL,41,20,22,42,-10,24,11,9,0,5,11,11,0,129,15.5,203,752,18:20,164,212,43.6,18,21,41,48,,91,91,' placed on IR with knee injury'
7,Sidney,Crosby,C,2021-22,34,PIT,NHL,69,31,53,84,19,32,23,8,0,9,31,22,0,208,14.9,334,1378,19:58,760,690,52.4,37,50,34,54,"AS-9,Selke-34",18,18,' placed on IR with wrist injury'
8,Matt,Boldy,LW,2021-22,20,MIN,NHL,47,15,24,39,17,10,12,3,0,2,17,7,0,113,13.3,197,723,15:23,9,15,37.5,24,23,27,22,Calder-8,36,36,' placed on IR with fractured left ankle'
9,Jared,McCann,C,2021-22,25,SEA,NHL,74,27,23,50,-26,33,18,8,1,1,14,9,0,199,13.6,353,1194,16:08,224,268,45.5,29,65,43,37,,9,9,' placed on IR with upper body injury'
